lang,date,average_sentiment_polarity
Bulgarian,2020-05-22,0.0
Bulgarian,2020-05-23,0.0
Bulgarian,2020-05-24,0.0
Bulgarian,2020-05-25,0.0
Bulgarian,2020-05-26,0.0
Bulgarian,2020-05-27,0.0
Bulgarian,2020-05-29,0.0
Bulgarian,2020-05-30,0.0
Bulgarian,2020-05-31,0.0
Bulgarian,2020-06-01,0.0
Bulgarian,2020-06-02,0.0
Bulgarian,2020-06-04,0.0
Bulgarian,2020-06-05,0.0
Bulgarian,2020-06-08,0.0
Bulgarian,2020-06-11,0.0
Bulgarian,2020-06-12,0.0
Bulgarian,2020-06-13,0.0
Bulgarian,2020-06-14,0.0
Bulgarian,2020-06-17,0.0
Bulgarian,2020-06-21,0.0
Bulgarian,2020-06-22,0.0
Bulgarian,2020-06-23,0.0
Bulgarian,2020-06-25,0.0
Bulgarian,2020-06-26,0.0
Bulgarian,2020-06-28,0.0
Bulgarian,2020-07-04,0.0
Bulgarian,2020-07-11,0.0
Bulgarian,2020-07-12,0.0
Bulgarian,2020-07-16,0.0
Bulgarian,2020-07-20,0.0
Bulgarian,2020-07-22,0.5
Bulgarian,2020-07-23,0.0
Bulgarian,2020-07-25,0.0
Bulgarian,2020-07-27,0.0
Bulgarian,2020-07-28,0.0
Bulgarian,2020-08-15,0.0
Bulgarian,2020-08-17,0.0
Bulgarian,2020-08-21,0.0
Bulgarian,2020-09-20,0.0
Bulgarian,2020-09-23,-0.25
Bulgarian,2020-09-24,0.0
Bulgarian,2020-09-28,0.0
Bulgarian,2020-10-14,0.0
Bulgarian,2020-10-18,0.0
Bulgarian,2020-10-20,0.0
Bulgarian,2020-10-21,0.0
Bulgarian,2020-10-22,0.0
Bulgarian,2020-10-24,0.0
Bulgarian,2020-10-25,0.0333333333333333
Bulgarian,2020-10-26,0.0
Bulgarian,2020-10-27,0.0
Bulgarian,2020-10-28,0.0
Bulgarian,2020-10-29,0.0
Bulgarian,2020-11-01,0.0
Bulgarian,2020-11-08,0.0
Bulgarian,2020-11-12,0.0
Bulgarian,2020-11-14,0.5
Bulgarian,2020-11-21,0.0
Bulgarian,2020-11-24,0.0
Bulgarian,2020-11-25,0.0
Bulgarian,2020-12-03,0.0
Bulgarian,2020-12-11,0.0
Bulgarian,2020-12-13,0.0
Bulgarian,2020-12-14,-0.125
Bulgarian,2020-12-16,0.0
Bulgarian,2020-12-20,0.0
Bulgarian,2020-12-22,0.0
Bulgarian,2020-12-26,0.0
Bulgarian,2020-12-28,0.0
Bulgarian,2021-01-02,0.0
Bulgarian,2021-01-05,0.0
Bulgarian,2021-01-25,0.0
Bulgarian,2021-01-29,0.0
Bulgarian,2021-03-02,0.0
Bulgarian,2021-03-12,-0.75
Bulgarian,2021-03-20,0.0
Bulgarian,2021-04-03,0.0
Bulgarian,2021-04-23,0.0
Bulgarian,2021-05-11,0.0
Bulgarian,2021-05-19,0.0
Bulgarian,2021-05-24,0.0
Bulgarian,2021-06-02,0.0
Bulgarian,2021-07-15,0.0
Bulgarian,2021-07-27,0.0
Bulgarian,2021-08-17,0.0
Bulgarian,2021-08-26,0.0
Bulgarian,2021-08-31,0.0
Bulgarian,2021-09-14,0.0
Bulgarian,2021-09-20,0.5
Bulgarian,2021-10-05,0.0
Bulgarian,2021-10-10,0.0
Bulgarian,2021-10-16,0.0
Bulgarian,2021-10-20,0.0
Bulgarian,2021-11-09,0.0
Bulgarian,2021-11-14,0.0
Bulgarian,2021-12-09,0.0
Bulgarian,2021-12-29,0.5
Bulgarian,2022-01-03,0.0
Bulgarian,2022-01-13,0.0
Bulgarian,2022-01-18,0.0
Bulgarian,2022-01-19,0.0
Bulgarian,2022-01-20,0.0
Bulgarian,2022-02-05,0.0
Bulgarian,2022-02-22,0.0
Bulgarian,2022-02-23,0.0
Bulgarian,2022-03-09,0.0
Bulgarian,2022-03-11,0.0
Bulgarian,2022-03-18,0.0
Bulgarian,2022-03-19,0.0
Bulgarian,2022-03-25,0.0
Bulgarian,2022-03-29,0.0
Bulgarian,2022-04-03,0.0
Bulgarian,2022-04-05,0.0
Bulgarian,2022-05-05,0.0
Bulgarian,2022-05-11,0.0
Bulgarian,2022-05-12,0.0
Bulgarian,2022-06-12,0.0
Bulgarian,2022-07-16,0.0
Bulgarian,2022-07-18,0.0
Bulgarian,2022-07-20,0.0
Bulgarian,2022-07-29,0.0
Bulgarian,2022-08-03,1.0
Bulgarian,2022-09-19,-0.25
Bulgarian,2022-09-23,0.0
Czech,2020-01-26,0.0
Czech,2020-01-28,-0.1
Czech,2020-01-29,0.0
Czech,2020-01-31,0.0
Czech,2020-02-03,0.0
Czech,2020-02-09,0.0
Czech,2020-02-13,0.0
Czech,2020-02-23,0.2
Czech,2020-02-27,0.0
Czech,2020-02-28,0.0
Czech,2020-03-01,0.0
Czech,2020-03-02,0.0
Czech,2020-03-03,0.0
Czech,2020-03-05,0.0
Czech,2020-03-06,-0.5
Czech,2020-03-12,0.0
Czech,2020-03-13,0.0
Czech,2020-03-14,0.0
Czech,2020-03-15,-0.375
Czech,2020-03-16,0.0
Czech,2020-03-17,0.0
Czech,2020-03-18,0.0
Czech,2020-03-20,0.0
Czech,2020-03-21,0.0
Czech,2020-03-22,0.0
Czech,2020-03-23,0.0
Czech,2020-03-25,0.0
Czech,2020-03-26,0.0
Czech,2020-03-27,0.0166666666666666
Czech,2020-03-28,0.0
Czech,2020-03-29,0.0
Czech,2020-03-30,0.0
Czech,2020-03-31,0.0
Czech,2020-04-01,0.0
Czech,2020-04-02,0.0
Czech,2020-04-03,0.0
Czech,2020-04-04,-0.0535714285714285
Czech,2020-04-05,0.0
Czech,2020-04-06,0.0
Czech,2020-04-07,0.0
Czech,2020-04-08,-0.09375
Czech,2020-04-09,0.0
Czech,2020-04-10,0.0428571428571428
Czech,2020-04-11,0.0
Czech,2020-04-12,-0.25
Czech,2020-04-13,0.0
Czech,2020-04-14,0.0
Czech,2020-04-15,0.0
Czech,2020-04-16,0.0
Czech,2020-04-17,0.0
Czech,2020-04-18,-0.0519480519480519
Czech,2020-04-19,0.0
Czech,2020-04-20,0.1
Czech,2020-04-22,0.0
Czech,2020-04-23,0.0
Czech,2020-04-24,-0.0999999999999999
Czech,2020-04-25,0.0714285714285714
Czech,2020-04-26,0.0
Czech,2020-04-29,0.0
Czech,2020-04-30,0.0
Czech,2020-05-01,0.0
Czech,2020-05-02,0.0
Czech,2020-05-06,0.0
Czech,2020-05-07,0.5138888888888888
Czech,2020-05-08,0.0
Czech,2020-05-09,0.0
Czech,2020-05-10,-0.15
Czech,2020-05-11,0.0055555555555555
Czech,2020-05-12,0.0
Czech,2020-05-13,0.125
Czech,2020-05-14,-0.0625
Czech,2020-05-15,0.0166666666666666
Czech,2020-05-16,0.0
Czech,2020-05-17,0.0
Czech,2020-05-18,0.5
Czech,2020-05-19,0.0
Czech,2020-05-20,0.0833333333333333
Czech,2020-05-21,0.0083333333333333
Czech,2020-05-22,0.0
Czech,2020-05-23,0.0
Czech,2020-05-24,0.0
Czech,2020-05-25,0.25
Czech,2020-05-26,0.0
Czech,2020-05-27,0.0166666666666666
Czech,2020-05-28,0.0
Czech,2020-05-29,0.0
Czech,2020-05-30,0.3333333333333333
Czech,2020-05-31,0.0
Czech,2020-06-01,0.0
Czech,2020-06-02,0.0
Czech,2020-06-03,-0.0625
Czech,2020-06-04,0.0
Czech,2020-06-05,0.025
Czech,2020-06-06,0.1124999999999999
Czech,2020-06-07,0.0
Czech,2020-06-08,0.0
Czech,2020-06-09,0.0
Czech,2020-06-10,0.0
Czech,2020-06-11,0.0
Czech,2020-06-12,0.0
Czech,2020-06-13,0.0
Czech,2020-06-15,0.0
Czech,2020-06-17,0.0
Czech,2020-06-18,0.0
Czech,2020-06-22,0.5
Czech,2020-06-23,0.0
Czech,2020-06-24,0.0
Czech,2020-06-25,-0.1555555555555555
Czech,2020-06-26,0.0
Czech,2020-06-28,0.1666666666666666
Czech,2020-06-29,0.0
Czech,2020-06-30,0.0681818181818181
Czech,2020-07-01,0.0
Czech,2020-07-02,-0.05
Czech,2020-07-03,0.0
Czech,2020-07-04,0.0
Czech,2020-07-07,0.0
Czech,2020-07-09,0.0
Czech,2020-07-10,0.0
Czech,2020-07-11,0.0
Czech,2020-07-15,0.0
Czech,2020-07-17,0.0
Czech,2020-07-18,0.0
Czech,2020-07-19,0.0
Czech,2020-07-20,0.0
Czech,2020-07-22,0.0
Czech,2020-07-24,-0.2
Czech,2020-07-25,0.0
Czech,2020-07-26,0.0
Czech,2020-07-27,0.0
Czech,2020-07-28,-0.25
Czech,2020-07-29,0.0
Czech,2020-07-30,0.0833333333333333
Czech,2020-07-31,0.0
Czech,2020-08-01,0.125
Czech,2020-08-03,0.0
Czech,2020-08-05,0.0
Czech,2020-08-06,0.0
Czech,2020-08-10,-0.0777777777777777
Czech,2020-08-11,0.0
Czech,2020-08-12,0.0
Czech,2020-08-13,0.5
Czech,2020-08-15,0.0
Czech,2020-08-16,0.25
Czech,2020-08-17,0.0
Czech,2020-08-18,0.0
Czech,2020-08-19,0.0
Czech,2020-08-20,0.0
Czech,2020-08-22,0.0
Czech,2020-08-23,0.25
Czech,2020-08-26,0.0
Czech,2020-08-27,0.0
Czech,2020-08-30,0.0
Czech,2020-09-01,0.2537878787878788
Czech,2020-09-03,0.0
Czech,2020-09-04,0.25
Czech,2020-09-06,0.0
Czech,2020-09-09,0.0
Czech,2020-09-10,0.0
Czech,2020-09-11,0.0
Czech,2020-09-13,0.0
Czech,2020-09-14,0.0
Czech,2020-09-15,0.0
Czech,2020-09-16,0.125
Czech,2020-09-17,0.0
Czech,2020-09-20,0.0
Czech,2020-09-22,0.0
Czech,2020-09-23,0.0
Czech,2020-09-24,0.0
Czech,2020-09-26,1.0
Czech,2020-09-27,0.0
Czech,2020-09-29,0.0
Czech,2020-10-01,0.0
Czech,2020-10-02,0.0
Czech,2020-10-03,0.0
Czech,2020-10-06,0.0
Czech,2020-10-07,0.0
Czech,2020-10-08,0.0285714285714285
Czech,2020-10-09,0.0267857142857142
Czech,2020-10-10,0.0
Czech,2020-10-11,0.0
Czech,2020-10-12,0.0
Czech,2020-10-13,0.0
Czech,2020-10-15,0.0
Czech,2020-10-16,0.1666666666666666
Czech,2020-10-17,0.0
Czech,2020-10-18,0.0
Czech,2020-10-19,0.2083333333333333
Czech,2020-10-21,0.0
Czech,2020-10-22,0.0
Czech,2020-10-23,-0.125
Czech,2020-10-26,0.0
Czech,2020-10-27,0.0
Czech,2020-10-28,0.0
Czech,2020-10-29,0.3333333333333333
Czech,2020-10-31,0.5
Czech,2020-11-02,0.0
Czech,2020-11-03,-0.75
Czech,2020-11-04,0.0
Czech,2020-11-07,0.0
Czech,2020-11-09,0.0
Czech,2020-11-10,0.0
Czech,2020-11-11,0.0
Czech,2020-11-12,0.0
Czech,2020-11-13,0.0
Czech,2020-11-14,0.0
Czech,2020-11-15,0.0
Czech,2020-11-16,-0.075
Czech,2020-11-17,0.2333333333333333
Czech,2020-11-18,0.0
Czech,2020-11-19,0.0
Czech,2020-11-20,0.0
Czech,2020-11-21,0.0
Czech,2020-11-26,0.0
Czech,2020-11-27,0.0
Czech,2020-11-29,0.2375
Czech,2020-12-02,0.0
Czech,2020-12-03,0.0
Czech,2020-12-05,0.0
Czech,2020-12-06,0.0
Czech,2020-12-07,0.0
Czech,2020-12-08,0.5
Czech,2020-12-09,0.0
Czech,2020-12-10,0.25
Czech,2020-12-11,0.0
Czech,2020-12-12,0.0
Czech,2020-12-13,0.0
Czech,2020-12-14,0.0
Czech,2020-12-15,0.4833333333333333
Czech,2020-12-16,0.0
Czech,2020-12-17,0.0
Czech,2020-12-18,0.0535714285714285
Czech,2020-12-20,0.2
Czech,2020-12-23,0.25
Czech,2020-12-26,0.3333333333333333
Czech,2020-12-28,0.0
Czech,2020-12-29,0.0
Czech,2020-12-30,0.0
Czech,2020-12-31,0.0
Czech,2021-01-01,0.0
Czech,2021-01-02,0.1666666666666666
Czech,2021-01-04,0.125
Czech,2021-01-05,0.125
Czech,2021-01-07,0.0
Czech,2021-01-08,0.0
Czech,2021-01-09,0.0
Czech,2021-01-13,0.0
Czech,2021-01-15,0.0
Czech,2021-01-16,-0.125
Czech,2021-01-17,0.0
Czech,2021-01-18,0.0
Czech,2021-01-19,0.0
Czech,2021-01-23,0.0
Czech,2021-01-25,0.0
Czech,2021-01-28,0.0
Czech,2021-02-01,0.0
Czech,2021-02-05,0.75
Czech,2021-02-07,0.0
Czech,2021-02-08,0.0
Czech,2021-02-12,0.0
Czech,2021-02-13,-0.0333333333333333
Czech,2021-02-14,0.5
Czech,2021-02-16,0.0
Czech,2021-02-17,0.0
Czech,2021-02-18,0.3333333333333333
Czech,2021-02-21,0.0
Czech,2021-02-22,0.0
Czech,2021-02-26,0.0
Czech,2021-02-27,0.0
Czech,2021-02-28,0.0
Czech,2021-03-01,0.0
Czech,2021-03-02,0.0
Czech,2021-03-03,0.1666666666666666
Czech,2021-03-05,0.0
Czech,2021-03-06,0.0
Czech,2021-03-08,0.0
Czech,2021-03-10,0.0
Czech,2021-03-12,0.0
Czech,2021-03-13,0.0
Czech,2021-03-15,0.0
Czech,2021-03-16,0.0
Czech,2021-03-17,0.0
Czech,2021-03-20,0.0
Czech,2021-03-25,0.0
Czech,2021-03-26,0.0
Czech,2021-03-27,0.0
Czech,2021-03-28,0.0
Czech,2021-03-29,0.0
Czech,2021-03-30,0.0
Czech,2021-04-05,0.0
Czech,2021-04-06,0.0
Czech,2021-04-14,0.0
Czech,2021-04-16,-0.19375
Czech,2021-04-19,0.0
Czech,2021-04-21,0.0
Czech,2021-04-27,1.0
Czech,2021-04-30,0.0
Czech,2021-05-05,0.0
Czech,2021-05-08,0.0
Czech,2021-05-10,0.25
Czech,2021-05-11,0.0
Czech,2021-05-12,0.0
Czech,2021-05-13,0.0
Czech,2021-05-18,0.0
Czech,2021-05-24,0.0
Czech,2021-05-25,-0.5
Czech,2021-05-26,0.0
Czech,2021-05-28,0.0
Czech,2021-05-30,0.0
Czech,2021-06-01,0.0
Czech,2021-06-02,0.0
Czech,2021-06-03,0.0
Czech,2021-06-06,0.0
Czech,2021-06-07,0.0
Czech,2021-06-08,0.25
Czech,2021-06-09,0.0
Czech,2021-06-10,0.0
Czech,2021-06-11,0.0
Czech,2021-06-13,0.0
Czech,2021-06-14,0.0
Czech,2021-06-18,-0.8
Czech,2021-06-20,0.0
Czech,2021-06-22,0.0
Czech,2021-06-25,0.0
Czech,2021-06-28,0.0
Czech,2021-06-29,0.0
Czech,2021-06-30,0.0
Czech,2021-07-02,-0.25
Czech,2021-07-03,0.5
Czech,2021-07-05,0.2
Czech,2021-07-07,0.4666666666666666
Czech,2021-07-14,0.25
Czech,2021-07-22,0.0
Czech,2021-07-24,0.0
Czech,2021-07-25,0.0
Czech,2021-07-28,0.0
Czech,2021-07-29,0.0
Czech,2021-07-31,0.0
Czech,2021-08-02,0.0
Czech,2021-08-07,0.0
Czech,2021-08-17,0.0
Czech,2021-08-18,0.0
Czech,2021-08-19,0.0
Czech,2021-08-20,0.0
Czech,2021-08-24,0.0
Czech,2021-08-26,-0.25
Czech,2021-08-30,0.0
Czech,2021-09-01,0.0
Czech,2021-09-02,0.0
Czech,2021-09-05,-0.4
Czech,2021-09-07,0.0
Czech,2021-09-09,0.5
Czech,2021-09-10,0.5
Czech,2021-09-12,0.0
Czech,2021-09-17,0.0
Czech,2021-09-29,0.0
Czech,2021-10-04,0.0
Czech,2021-10-07,0.0
Czech,2021-10-13,0.0
Czech,2021-10-15,0.0
Czech,2021-10-16,0.0
Czech,2021-10-26,0.0
Czech,2021-10-30,-0.125
Czech,2021-10-31,0.0
Czech,2021-11-01,0.0
Czech,2021-11-02,0.0
Czech,2021-11-03,0.0
Czech,2021-11-04,0.0
Czech,2021-11-05,0.0
Czech,2021-11-06,0.0
Czech,2021-11-08,0.0
Czech,2021-11-10,0.2125
Czech,2021-11-11,0.0
Czech,2021-11-12,0.0
Czech,2021-11-14,0.0
Czech,2021-11-15,-0.2
Czech,2021-11-16,0.0
Czech,2021-11-17,0.0
Czech,2021-11-18,-0.375
Czech,2021-11-19,0.0
Czech,2021-11-20,0.0
Czech,2021-11-21,0.0
Czech,2021-11-22,0.0
Czech,2021-11-23,0.0
Czech,2021-11-24,0.0
Czech,2021-11-25,0.0
Czech,2021-11-27,-0.625
Czech,2021-11-28,0.0
Czech,2021-11-30,0.0
Czech,2021-12-02,0.0
Czech,2021-12-03,0.0
Czech,2021-12-05,0.0
Czech,2021-12-06,0.0
Czech,2021-12-07,0.0
Czech,2021-12-12,0.0
Czech,2021-12-13,0.0
Czech,2021-12-14,0.0
Czech,2021-12-17,0.0
Czech,2021-12-21,0.0
Czech,2021-12-22,0.0
Czech,2021-12-24,0.0
Czech,2021-12-27,0.0
Czech,2021-12-29,0.0
Czech,2022-01-03,0.0
Czech,2022-01-09,0.0
Czech,2022-01-10,0.0
Czech,2022-01-11,0.0
Czech,2022-01-13,0.0
Czech,2022-01-14,0.0
Czech,2022-01-16,0.0
Czech,2022-01-17,0.0
Czech,2022-01-18,0.0
Czech,2022-01-20,0.0
Czech,2022-01-25,0.0
Czech,2022-01-27,0.0
Czech,2022-02-01,0.0
Czech,2022-02-03,0.0
Czech,2022-02-05,0.0
Czech,2022-02-09,-0.5
Czech,2022-02-10,0.0
Czech,2022-02-13,0.0
Czech,2022-02-15,0.0
Czech,2022-02-16,0.0
Czech,2022-02-26,0.0
Czech,2022-03-08,0.0
Czech,2022-03-09,0.0
Czech,2022-03-16,0.0
Czech,2022-03-28,0.0
Czech,2022-03-30,0.0
Czech,2022-04-03,0.0
Czech,2022-04-05,0.0
Czech,2022-04-07,0.0
Czech,2022-04-10,0.0
Czech,2022-04-12,0.0
Czech,2022-05-19,0.0
Czech,2022-05-20,0.0
Czech,2022-05-22,0.0
Czech,2022-05-27,0.0
Czech,2022-05-31,0.0
Czech,2022-06-05,0.0
Czech,2022-06-06,0.0
Czech,2022-06-14,0.0
Czech,2022-06-17,0.0
Czech,2022-06-21,0.0
Czech,2022-06-25,0.0
Czech,2022-06-26,0.0
Czech,2022-06-28,0.0
Czech,2022-07-07,0.0
Czech,2022-07-09,0.0
Czech,2022-07-12,0.0
Czech,2022-07-14,0.0
Czech,2022-07-15,0.0
Czech,2022-07-17,0.0
Czech,2022-07-20,0.0
Czech,2022-07-24,0.0
Czech,2022-07-25,0.0
Czech,2022-07-28,0.0
Czech,2022-08-02,0.0
Czech,2022-08-04,0.0
Czech,2022-08-09,0.0
Czech,2022-08-11,0.0
Czech,2022-08-20,0.0
Czech,2022-08-21,0.0
Czech,2022-08-23,0.0
Czech,2022-09-01,0.0
Czech,2022-09-07,0.0
Czech,2022-09-09,-0.5
Czech,2022-09-11,0.0
Czech,2022-09-13,0.0
Czech,2022-09-20,0.0
Czech,2022-09-22,0.0
Czech,2022-09-25,0.0
Czech,2022-09-27,0.0
Czech,2022-09-29,0.0
Danish,2020-01-29,0.0
Danish,2020-01-30,0.0
Danish,2020-02-01,0.0
Danish,2020-02-03,0.0
Danish,2020-02-06,0.0
Danish,2020-02-11,-0.0833333333333333
Danish,2020-02-13,0.0
Danish,2020-02-16,0.0
Danish,2020-02-17,0.0
Danish,2020-02-18,0.0
Danish,2020-02-22,0.0
Danish,2020-02-23,0.0
Danish,2020-02-24,0.0
Danish,2020-02-28,0.0
Danish,2020-02-29,0.0
Danish,2020-03-03,-0.5
Danish,2020-03-04,0.0
Danish,2020-03-05,0.0
Danish,2020-03-06,0.0
Danish,2020-03-07,-0.25
Danish,2020-03-08,-0.05
Danish,2020-03-09,0.0
Danish,2020-03-12,0.0
Danish,2020-03-13,0.0
Danish,2020-03-14,0.0
Danish,2020-03-15,0.0666666666666666
Danish,2020-03-16,0.0
Danish,2020-03-17,0.0
Danish,2020-03-18,0.2
Danish,2020-03-19,0.0
Danish,2020-03-20,-0.0041666666666666
Danish,2020-03-22,0.0
Danish,2020-03-23,0.0625
Danish,2020-03-24,0.0
Danish,2020-03-25,0.0
Danish,2020-03-26,0.0
Danish,2020-03-27,0.0
Danish,2020-03-28,-0.1
Danish,2020-03-29,0.0
Danish,2020-03-30,0.0
Danish,2020-03-31,0.00625
Danish,2020-04-01,-0.1
Danish,2020-04-02,0.0
Danish,2020-04-03,0.05
Danish,2020-04-04,0.0
Danish,2020-04-05,0.010625
Danish,2020-04-06,-0.0333333333333333
Danish,2020-04-07,0.0045454545454545
Danish,2020-04-08,0.0
Danish,2020-04-09,0.0666666666666666
Danish,2020-04-10,0.0071428571428571
Danish,2020-04-11,0.0
Danish,2020-04-12,0.125
Danish,2020-04-13,-0.2
Danish,2020-04-14,-0.0454545454545454
Danish,2020-04-15,-0.2
Danish,2020-04-16,0.0
Danish,2020-04-17,0.0
Danish,2020-04-18,-0.0547222222222222
Danish,2020-04-19,-0.1071428571428571
Danish,2020-04-20,0.1066666666666666
Danish,2020-04-21,0.0
Danish,2020-04-22,-0.13125
Danish,2020-04-23,0.0
Danish,2020-04-24,0.0166666666666666
Danish,2020-04-25,0.0
Danish,2020-04-26,0.025
Danish,2020-04-27,0.0
Danish,2020-04-28,0.0125
Danish,2020-04-29,0.0
Danish,2020-04-30,0.0166666666666666
Danish,2020-05-01,0.0
Danish,2020-05-02,0.0
Danish,2020-05-03,-0.25
Danish,2020-05-04,0.0
Danish,2020-05-06,0.0
Danish,2020-05-07,-0.3359375
Danish,2020-05-08,0.2
Danish,2020-05-09,0.0
Danish,2020-05-10,0.0
Danish,2020-05-12,0.0166666666666666
Danish,2020-05-13,0.125
Danish,2020-05-14,0.0
Danish,2020-05-15,-0.1666666666666666
Danish,2020-05-16,0.071875
Danish,2020-05-17,-0.0075757575757575
Danish,2020-05-18,0.025
Danish,2020-05-20,-0.25
Danish,2020-05-22,0.0
Danish,2020-05-24,0.0
Danish,2020-05-25,-0.4000000000000001
Danish,2020-05-27,0.1
Danish,2020-05-28,-0.5
Danish,2020-05-29,0.0
Danish,2020-06-01,0.0
Danish,2020-06-03,-0.3
Danish,2020-06-06,0.0
Danish,2020-06-07,0.0
Danish,2020-06-08,0.0055555555555555
Danish,2020-06-09,0.0333333333333333
Danish,2020-06-10,0.0
Danish,2020-06-11,0.0
Danish,2020-06-14,0.0
Danish,2020-06-16,0.0
Danish,2020-06-17,0.0
Danish,2020-06-18,0.0
Danish,2020-06-19,0.0
Danish,2020-06-21,0.0
Danish,2020-06-22,0.05
Danish,2020-06-23,-0.8
Danish,2020-06-26,0.0
Danish,2020-06-27,0.0
Danish,2020-07-01,0.0
Danish,2020-07-08,0.0
Danish,2020-07-12,0.1
Danish,2020-07-13,-0.0833333333333333
Danish,2020-07-14,0.05
Danish,2020-07-20,0.0
Danish,2020-07-21,0.0
Danish,2020-07-23,0.0
Danish,2020-07-24,0.0
Danish,2020-07-25,0.0
Danish,2020-07-26,0.0
Danish,2020-07-28,0.0
Danish,2020-07-29,0.0875
Danish,2020-08-02,0.0
Danish,2020-08-03,0.0
Danish,2020-08-05,0.0
Danish,2020-08-07,0.0
Danish,2020-08-08,0.0
Danish,2020-08-09,0.0
Danish,2020-08-10,0.0
Danish,2020-08-11,0.0
Danish,2020-08-13,0.2
Danish,2020-08-15,0.0
Danish,2020-08-16,-0.48828125
Danish,2020-08-18,0.0
Danish,2020-08-21,0.05
Danish,2020-08-23,-0.3
Danish,2020-08-25,0.0166666666666666
Danish,2020-08-26,0.0
Danish,2020-08-29,-0.0625
Danish,2020-08-30,0.05
Danish,2020-08-31,0.0
Danish,2020-09-01,0.0
Danish,2020-09-03,0.2
Danish,2020-09-04,0.0
Danish,2020-09-06,0.3333333333333333
Danish,2020-09-07,0.0
Danish,2020-09-08,-0.1111111111111111
Danish,2020-09-09,-0.25
Danish,2020-09-10,0.025
Danish,2020-09-11,0.1977272727272727
Danish,2020-09-13,0.1
Danish,2020-09-14,0.0166666666666666
Danish,2020-09-15,0.0
Danish,2020-09-16,0.1
Danish,2020-09-18,0.0
Danish,2020-09-19,0.0
Danish,2020-09-20,0.0
Danish,2020-09-21,0.0
Danish,2020-09-22,0.2
Danish,2020-09-23,0.0
Danish,2020-09-24,0.375
Danish,2020-09-26,0.5
Danish,2020-09-27,0.0
Danish,2020-09-29,0.0
Danish,2020-09-30,-0.0773809523809524
Danish,2020-10-01,0.0
Danish,2020-10-02,0.0
Danish,2020-10-05,0.0
Danish,2020-10-06,0.0
Danish,2020-10-08,0.0
Danish,2020-10-12,0.0
Danish,2020-10-13,0.0
Danish,2020-10-18,0.0
Danish,2020-10-19,0.0
Danish,2020-10-20,0.0
Danish,2020-10-23,0.0
Danish,2020-10-24,0.0
Danish,2020-10-25,0.0
Danish,2020-10-26,0.0
Danish,2020-10-29,0.0
Danish,2020-11-01,-0.125
Danish,2020-11-05,0.0
Danish,2020-11-07,0.1
Danish,2020-11-08,0.0
Danish,2020-11-09,0.0
Danish,2020-11-10,0.0
Danish,2020-11-12,0.5
Danish,2020-11-13,0.0
Danish,2020-11-16,0.0
Danish,2020-11-18,0.0
Danish,2020-11-20,0.0
Danish,2020-11-21,0.025
Danish,2020-11-24,0.0
Danish,2020-11-25,-0.1666666666666666
Danish,2020-11-30,0.0
Danish,2020-12-02,0.0
Danish,2020-12-03,-0.6999999999999998
Danish,2020-12-04,0.0166666666666666
